Site type,Weekday,Number of sites,Mean concentration of NO2 (µg/m3),95% confidence interval for 'All sites' (+/-)
Rural Background,Friday,12,5.319379731487493,2.0136351130118424
Rural Background,Monday,12,4.58898203614129,1.5761180398565484
Rural Background,Saturday,12,5.052828633202292,1.7921968034487394
Rural Background,Sunday,12,4.2858472282536,1.3917928690548795
Rural Background,Thursday,12,5.162532488511057,1.8415455211476548
Rural Background,Tuesday,12,4.97319198225519,1.8558674847523435
Rural Background,Wednesday,12,5.296897712448872,2.0093369649439357
Urban Background,Friday,60,14.619219296034885,1.2237401943083857
Urban Background,Monday,60,12.738084542905794,1.0780559466436601
Urban Background,Saturday,60,13.343664233898872,1.1427010071654187
Urban Background,Sunday,60,10.520340112864346,0.9229603501507875
Urban Background,Thursday,60,14.485473854336522,1.1686631210446048
Urban Background,Tuesday,60,13.825750272013115,1.1482417694213842
Urban Background,Wednesday,60,15.218315734239635,1.2019059876749272
Urban Traffic,Friday,63,22.728345752304868,1.7188233145939933
Urban Traffic,Monday,62,19.83667771648376,1.5128362398477726
Urban Traffic,Saturday,64,20.278966843941102,1.6664586236035517
Urban Traffic,Sunday,64,15.975374368752773,1.3924442324652244
Urban Traffic,Thursday,63,22.091748317137196,1.5955261169138888
Urban Traffic,Tuesday,62,21.35401383872187,1.5428773992241047
Urban Traffic,Wednesday,63,22.345886253244075,1.6653178324751776
