Site type,Hour,Number of sites,Mean concentration of NO2 (µg/m3),95% confidence interval for 'All sites' (+/-)
Rural Background,1,12,5.095241670263595,2.0690323583695833
Rural Background,2,12,4.853568951124383,1.9164156171807294
Rural Background,3,12,4.695765913220408,1.8788451883692499
Rural Background,4,12,4.584625723634747,1.901494181697039
Rural Background,5,12,4.517614716480349,1.885071619408633
Rural Background,6,12,4.607757073736751,1.9442394384142925
Rural Background,7,12,4.912038994152301,2.0940452182389246
Rural Background,8,12,5.237809682136949,2.1971857997582824
Rural Background,9,12,5.280584905748655,2.059586578190599
Rural Background,10,12,5.026240604668752,1.8083762760052529
Rural Background,11,12,4.722430360103186,1.5482914385129118
Rural Background,12,12,4.4402785519594286,1.3374201898310114
Rural Background,13,12,4.245443342123386,1.2344415559228372
Rural Background,14,12,4.160587729028033,1.1223759772282729
Rural Background,15,12,4.21884384022889,1.0848936544005963
Rural Background,16,12,4.430464254550501,1.1789894747354466
Rural Background,17,12,4.825770394656638,1.3383509905301927
Rural Background,18,12,5.276072207668986,1.6272556981571953
Rural Background,19,12,5.597603045195592,1.877544878932077
Rural Background,20,12,5.855592482785396,2.1203698486793114
Rural Background,21,12,5.862318700912108,2.2248789035305876
Rural Background,22,12,5.680412787382856,2.1845530181421777
Rural Background,23,12,5.479537307524776,2.1480040044060336
Rural Background,24,12,5.29832012115904,2.154523591772995
Urban Background,1,60,12.285629517099341,1.065585827756382
Urban Background,2,59,10.799240270428651,0.9422468658460799
Urban Background,3,60,10.23344076711369,0.9215362274719727
Urban Background,4,60,10.050389365095823,0.9355547251729984
Urban Background,5,60,10.898777778224023,1.0430789213513192
Urban Background,6,60,12.892911877658022,1.2224432958208133
Urban Background,7,60,15.15308745345362,1.313874866707742
Urban Background,8,60,16.613302499060953,1.299832506930392
Urban Background,9,60,16.190646366261486,1.2438390359963467
Urban Background,10,60,14.30986966349891,1.2014634145723462
Urban Background,11,60,12.522946806426479,1.1261333204159387
Urban Background,12,60,11.30971364432699,1.0592927451780778
Urban Background,13,60,10.68957904755591,1.0172725389396298
Urban Background,14,60,10.587753123620903,1.032813267261495
Urban Background,15,60,11.050645142595856,1.0594305471891965
Urban Background,16,60,12.218232507645446,1.1227361746994795
Urban Background,17,60,13.956263842127893,1.1839398584039416
Urban Background,18,60,15.630189775775461,1.2261299989574876
Urban Background,19,60,16.73429229939719,1.2494791099836096
Urban Background,20,60,17.323154799255917,1.3117166298265823
Urban Background,21,60,17.23090717214689,1.3214662279234657
Urban Background,22,60,16.58576994472383,1.3365119675038604
Urban Background,23,60,15.416401336276653,1.3148879951813939
Urban Background,24,60,13.780415857884257,1.1924713005403642
Urban Traffic,1,60,14.138377446983082,1.3187245745894136
Urban Traffic,2,59,11.906140501306082,1.085543263118999
Urban Traffic,3,61,11.061059903583866,1.0270317089240326
Urban Traffic,4,61,11.275837845483174,1.0433129671747796
Urban Traffic,5,61,13.616031944170555,1.2660348717690324
Urban Traffic,6,61,18.23024930922626,1.5887606140423367
Urban Traffic,7,61,22.846334944958148,1.782378393942377
Urban Traffic,8,61,25.42887065726032,1.7906337450605134
Urban Traffic,9,61,25.03332029531984,1.7563559631641605
Urban Traffic,10,60,22.97714656977962,1.7637717613095025
Urban Traffic,11,60,21.37872515798784,1.743432344158659
Urban Traffic,12,60,20.60488772005103,1.7699155961033195
Urban Traffic,13,61,20.345217449758852,1.761216436624524
Urban Traffic,14,60,20.52066779917365,1.8464108819793392
Urban Traffic,15,61,21.64023313058217,1.8515144763637825
Urban Traffic,16,61,23.334953171292266,1.9073638000169688
Urban Traffic,17,61,25.177339075590933,1.9459392773879354
Urban Traffic,18,61,26.04619649083553,1.9257262643942248
Urban Traffic,19,61,25.892599697948256,1.8770071434991065
Urban Traffic,20,61,25.06790362025102,1.8373526784198495
Urban Traffic,21,61,23.60167907364996,1.809633776271747
Urban Traffic,22,61,21.848685271507218,1.791009669688131
Urban Traffic,23,61,19.548396912094503,1.755794710938936
Urban Traffic,24,61,16.522387128875987,1.5646717573021984
