Site type,Month,Number of sites,Mean concentration of PM2.5 (µg/m3),95% confidence interval for 'All sites' (+/-)
Urban Background,Jan,67,10.60291204092788,0.5155876169358694
Urban Background,Feb,67,13.21440397019212,0.4283991252957172
Urban Background,Mar,70,14.199609064323642,0.5100844287917999
Urban Background,Apr,72,9.726823796075346,0.2827696450919632
Urban Background,May,74,7.060637037773463,0.17680599422450644
Urban Background,Jun,75,6.21304957201165,0.14831601771046046
Urban Background,Jul,77,5.45232826028742,0.14305741151704807
Urban Background,Aug,76,6.312822476514056,0.15032945003368556
Urban Background,Sep,76,4.58667221741484,0.1487991357743022
Urban Background,Oct,78,6.316545962501818,0.22392358053932976
Urban Background,Nov,78,6.143105548908865,0.2432718254013739
Urban Background,Dec,81,7.244145267119084,0.2123060115873405
Urban Traffic,Jan,43,11.23590090935728,0.7482136446860173
Urban Traffic,Feb,44,13.797694144128338,0.7415371597438308
Urban Traffic,Mar,46,14.780129104038597,0.8626025641857362
Urban Traffic,Apr,47,10.161122069324575,0.495976941526622
Urban Traffic,May,48,7.638910059825357,0.34461608963304025
Urban Traffic,Jun,49,6.7140367824569465,0.34103191964931384
Urban Traffic,Jul,48,5.880900699530052,0.25962750259835743
Urban Traffic,Aug,50,6.739227897570406,0.30425777459795694
Urban Traffic,Sep,49,5.126796269471703,0.31200521423820016
Urban Traffic,Oct,50,6.776964805514122,0.3572717267845394
Urban Traffic,Nov,47,6.915603458777002,0.4679791036165241
Urban Traffic,Dec,48,7.795151134173121,0.385802300563029
