Site type,Hour,Number of sites,Mean concentration of PM2.5 (µg/m3),95% confidence interval for 'All sites' (+/-)
Urban Background,1,72,8.400696902147734,0.27251286968979277
Urban Background,2,72,8.178148792350807,0.24192897594091298
Urban Background,3,72,8.038249555175023,0.23814113336588524
Urban Background,4,72,7.9382777041371595,0.2425201774519797
Urban Background,5,72,7.916153429021673,0.24238308011728146
Urban Background,6,72,7.987894867745766,0.24694218787620167
Urban Background,7,71,8.119065065427973,0.255393802897649
Urban Background,8,72,8.2186460339847809,0.2519073662433747
Urban Background,9,72,8.18389736392815,0.25201096552260305
Urban Background,10,72,7.987241706361775,0.23911710139783454
Urban Background,11,71,7.718662373524142,0.22628259231981174
Urban Background,12,71,7.441550805411609,0.21852733581253542
Urban Background,13,71,7.218559546055779,0.21363446485068377
Urban Background,14,72,7.041885567343711,0.20716765060722486
Urban Background,15,72,6.968287125112164,0.19635416029208322
Urban Background,16,72,7.012239780247729,0.19145579484014014
Urban Background,17,72,7.241973621002644,0.18636212739626912
Urban Background,18,72,7.680726496147185,0.2141598346758913
Urban Background,19,72,8.195928296568583,0.2375449704101155
Urban Background,20,72,8.702210088263088,0.26185846714529915
Urban Background,21,73,8.966662401676041,0.2755084410657483
Urban Background,22,73,8.955991718482327,0.2694349616516615
Urban Background,23,73,8.768985301176304,0.2630788255278333
Urban Background,24,73,8.548020065228854,0.2637669140595925
Urban Traffic,1,45,8.82309747375099,0.5143196545684631
Urban Traffic,2,45,8.421215855801979,0.42867442902487446
Urban Traffic,3,45,8.246049594028896,0.4198766909124964
Urban Traffic,4,45,8.156064581526373,0.4257779900372362
Urban Traffic,5,45,8.179922446299642,0.436074557709581
Urban Traffic,6,45,8.383109508419636,0.4572506889192397
Urban Traffic,7,45,8.663358031386007,0.473409696745705
Urban Traffic,8,45,8.88022265101647,0.4835145544199448
Urban Traffic,9,45,8.858696513584473,0.46545110008699725
Urban Traffic,10,45,8.721007312947608,0.4533024885661454
Urban Traffic,11,45,8.436006669824076,0.43394331834278527
Urban Traffic,12,45,8.15059333709094,0.4038663807879869
Urban Traffic,13,45,7.91063234517307,0.3926681726809912
Urban Traffic,14,45,7.735890224033693,0.37309443754176264
Urban Traffic,15,45,7.64737230845416,0.3488543735517751
Urban Traffic,16,45,7.687462777444186,0.3256421939961788
Urban Traffic,17,45,7.957880325397605,0.3291742325318441
Urban Traffic,18,45,8.439969234613406,0.36701024054306874
Urban Traffic,19,45,8.994505158745083,0.3909601341125564
Urban Traffic,20,45,9.44402335507245,0.4265285288566481
Urban Traffic,21,45,9.624344585756512,0.4589234947191425
Urban Traffic,22,45,9.576935406325063,0.46096225069939656
Urban Traffic,23,45,9.31628339890036,0.4377961444630701
Urban Traffic,24,45,8.970559602380504,0.4329382364158896
