Site type,Month,Number of sites,Mean daily maximum 8-hour mean concentration of ozone (µg/m3),95% confidence interval for 'All sites' (+/-)
Rural Background,Jan,20,62.606419464999426,3.540428832093469
Rural Background,Feb,22,66.7980627831934,2.310534629338696
Rural Background,Mar,23,79.76793775805781,1.9838158026917518
Rural Background,Apr,21,89.43722735018166,2.000638746877958
Rural Background,May,21,90.08987499550395,1.6565940098486718
Rural Background,Jun,20,81.71813442592365,3.870563779133561
Rural Background,Jul,20,69.36678561462467,3.243629425928666
Rural Background,Aug,19,73.47572278952676,3.3925997461467445
Rural Background,Sep,21,63.918464115972434,1.9082276107401686
Rural Background,Oct,21,62.64848222610886,1.8618525429131525
Rural Background,Nov,22,64.09984871260887,2.3385107527556532
Rural Background,Dec,22,66.61212918548196,2.221961539388984
Urban Background,Jan,60,51.13688115268603,1.5878511985709496
Urban Background,Feb,59,59.98657485773792,1.5501102979653916
Urban Background,Mar,58,73.90274540800071,1.2342431649496017
Urban Background,Apr,59,87.04116680323348,1.2574315624287564
Urban Background,May,59,89.19557135054394,1.0965850560732135
Urban Background,Jun,58,81.99842279738529,1.7180793410972224
Urban Background,Jul,58,69.39051191066179,1.6275331048747206
Urban Background,Aug,61,73.43183292425158,1.4897321494627982
Urban Background,Sep,58,59.46385495651624,1.2676543342087017
Urban Background,Oct,60,56.93775950960752,1.2276895344836787
Urban Background,Nov,59,56.70898621091993,1.314138223609777
Urban Background,Dec,61,60.40768203180034,1.3434241660732789
