Year,All motor vehicles,Cars & taxis,LGVs,HGVs,Pedal cycles,Motorcycles,Buses & coaches
2025,342.6,262.4,58.8,16.3,3.7,3,2
2024,336.2,256.1,58.5,16.6,3.5,3,2
2023,330.8,251.3,57.8,16.9,3.6,2.9,1.9
2022,323.7,244,57.5,17.4,3.9,2.8,2
2021,297.6,221.4,54.4,17.5,4.2,2.5,1.8
2020,265.9,197.3,48.6,16.2,5.3,2.2,1.6
2019,338.6,262.9,53.5,17.2,3.6,2.7,2.4
2018,334.2,259.1,52.8,17.2,3.5,2.7,2.4
2017,332.5,257.9,52.2,17.1,3.5,2.7,2.5
2016,327.9,254.8,50.8,16.9,3.4,2.8,2.6
2015,320.4,250.3,47.8,16.8,3.4,2.7,2.7
2014,314.5,246.9,45.8,16.2,3.6,2.7,2.8
2013,305.8,241.3,43.2,15.8,3.2,2.6,2.8
2012,304.6,240.9,42.5,15.6,3.4,2.6,2.9
2011,304.3,241,41.6,16,3.2,2.9,2.9
2010,303.2,239.6,41.2,16.4,3.1,2.9,3.1
2009,307.3,243.9,40.7,16.4,3.1,3.2,3.1
2008,310.5,244.8,41.6,17.8,2.9,3.1,3.1
2007,313.3,246.5,41.9,18.2,2.6,3.4,3.3
2006,310.4,246,39.9,18.1,2.9,3.2,3.3
2005,305.8,243.1,38.3,18,2.7,3.3,3.1
2004,305.7,243.9,37.3,18.2,2.6,3.2,3.2
2003,302,242,35.7,17.7,2.8,3.4,3.3
2002,300.2,242.4,34,17.6,2.7,3.1,3.2
2001,293.5,236.7,33.2,17.4,2.6,3,3.2
2000,289.6,233.5,32.4,17.5,2.6,2.8,3.2
1999,290.2,234.5,32.1,17.5,2.5,2.8,3.3
1998,284.9,230.3,31.6,17.2,2.5,2.6,3.3
1997,279.8,227.3,30.2,16.7,2.5,2.5,3.2
1996,274.1,223.6,28.7,16.3,2.5,2.3,3.1
1995,267,218.2,27.7,15.8,2.6,2.3,3
1994,261.9,214.4,26.9,15.4,2.5,2.3,2.9
1993,256.2,210.1,25.8,15.1,2.5,2.3,2.9
